No.	Id	SMILES	Assessment	Predicted toxicity [-log(mol/l)]	Predicted toxicity [mg/l]	Molecular Weight	Experimental value [mg/l]	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
18	Molecule 18	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	0.0426 mg/L (EXPERIMENTAL value)	6.12	0.2702	354.48	0.0426	6.92	0.85	1	0.376	0.802	0.376	True	0.85	-
19	Molecule 19	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	0.6556 mg/L (MODERATE reliability)	5.59	0.6556	257.54	-	-	0.85	0.97	0.606	0.721	1.12	True	1	-
20	Molecule 20	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	0.3917 mg/L (MODERATE reliability)	5.87	0.3917	291.98	-	-	0.85	0.951	0.606	0.675	1.12	True	1	-
21	Molecule 21	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	0.2173 mg/L (MODERATE reliability)	6.18	0.2173	326.42	-	-	0.85	0.933	0.606	0.675	1.12	True	1	-
22	Molecule 22	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	0.2125 mg/L (MODERATE reliability)	6.19	0.2125	326.42	-	-	0.85	0.933	0.606	0.675	1.12	True	1	-
23	Molecule 23	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	0.1311 mg/L (MODERATE reliability)	6.44	0.1311	360.86	-	-	0.85	0.905	0.606	0.675	1.12	True	1	-
24	Molecule 24	c1cc(c(c(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl)Cl	0.1271 mg/L (MODERATE reliability)	6.45	0.1271	360.86	-	-	0.85	0.905	0.606	0.675	1.12	True	1	-
25	Molecule 25	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	0.0738 mg/L (MODERATE reliability)	6.73	0.0738	395.3	-	-	0.85	0.879	0.606	0.675	1.12	True	1	-
26	Molecule 26	c1cc(ccc1c2cc(c(cc2Cl)Cl)Cl)Cl	0.3514 mg/L (MODERATE reliability)	5.92	0.3514	291.98	-	-	0.85	0.968	0.606	0.675	1.12	True	1	-
27	Molecule 27	c1cc(ccc1c2ccc(c(c2Cl)Cl)Cl)Cl	0.3817 mg/L (MODERATE reliability)	5.88	0.3817	291.98	-	-	0.85	0.968	0.606	0.675	1.12	True	1	-
28	Molecule 28	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	0.2153 mg/L (MODERATE reliability)	6.18	0.2153	326.42	-	-	0.85	0.934	0.606	0.675	1.12	True	1	-
29	Molecule 29	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	0.1972 mg/L (MODERATE reliability)	6.22	0.1972	326.42	-	-	0.85	0.938	0.606	0.675	1.12	True	1	-
30	Molecule 30	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	0.2135 mg/L (MODERATE reliability)	6.18	0.2135	326.42	-	-	0.85	0.932	0.606	0.675	1.12	True	1	-
31	Molecule 31	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	0.1273 mg/L (MODERATE reliability)	6.45	0.1273	360.86	-	-	0.85	0.904	0.606	0.675	1.12	True	1	-
32	Molecule 32	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	0.1199 mg/L (MODERATE reliability)	6.48	0.1199	360.86	-	-	0.85	0.904	0.606	0.675	1.12	True	1	-
33	Molecule 33	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	0.1259 mg/L (MODERATE reliability)	6.46	0.1259	360.86	-	-	0.85	0.905	0.606	0.675	1.12	True	1	-
34	Molecule 34	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	0.072 mg/L (MODERATE reliability)	6.74	0.072	395.3	-	-	0.85	0.879	0.606	0.675	1.12	True	1	-
35	Molecule 35	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	0.0724 mg/L (MODERATE reliability)	6.74	0.0724	395.3	-	-	0.85	0.878	0.606	0.675	1.12	True	1	-
