No.	Id	SMILES	Assessment	Predicted LogP	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Remarks
26	Molecule 26	c1cc(ccc1c2cc(c(cc2Cl)Cl)Cl)Cl	6.67 (EXPERIMENTAL value)	5.99	6.67	0.85	1	0.681	0.681	0.681	-
27	Molecule 27	c1cc(ccc1c2ccc(c(c2Cl)Cl)Cl)Cl	5.84 (EXPERIMENTAL value)	5.99	5.84	1	1	0.149	0.149	0.149	-
28	Molecule 28	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	6.23 (MODERATE reliability)	6.23	-	0.85	0.998	0.468	0.468	0.558	-
29	Molecule 29	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	6.23 (MODERATE reliability)	6.23	-	0.85	0.995	0.703	0.703	0.888	-
30	Molecule 30	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	6.79 (EXPERIMENTAL value)	6.23	6.79	0.85	1	0.558	0.558	0.558	-
31	Molecule 31	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	7.5 (EXPERIMENTAL value)	6.47	7.5	0.75	1	1.03	1.03	1.03	-
32	Molecule 32	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	7.6 (EXPERIMENTAL value)	6.47	7.6	0.75	1	1.13	1.13	1.13	-
33	Molecule 33	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	6.47 (LOW reliability)	6.47	-	0.75	0.998	0.985	0.985	1.13	-
34	Molecule 34	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	6.7 (LOW reliability)	6.7	-	0.75	0.987	1.489	1.603	1.75	-
35	Molecule 35	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	6.7 (LOW reliability)	6.7	-	0.75	0.985	1.489	1.603	1.75	-
