No.	Id	SMILES	Assessment	Predicted BCF [log(L/kg)]	Predicted BCF [L/kg]	Predicted BCF from sub-model 1 (HM) [log(L/kg)]	Predicted BCF from sub-model 2 (GA) [log(L/kg)]	Predicted LogP (MLogP)	Experimental	Structural Alerts	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
20	Molecule 20	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	4.44 log(L/kg) (EXPERIMENTAL value)	4.64	43388	4.55	4.39	5.99	4.44	Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	1	0.197	0.197	0.197	True	1	-
21	Molecule 21	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	4.63 log(L/kg) (EXPERIMENTAL value)	4.64	43679	4.42	4.52	6.23	4.63	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	1	0.01	0.01	0.01	True	1	-
22	Molecule 22	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	4.38 log(L/kg) (EXPERIMENTAL value)	4.63	42789	4.41	4.52	6.23	4.38	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	1	0.251	0.251	0.251	True	1	-
23	Molecule 23	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	4.37 log(L/kg) (MODERATE reliability)	4.37	23572	3.94	4.49	6.47	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	0.85	0.972	0.317	0.305	0.623	True	1	-
24	Molecule 24	c1cc(c(c(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl)Cl	4.37 log(L/kg) (MODERATE reliability)	4.37	23670	3.94	4.49	6.47	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	0.85	0.972	0.317	0.305	0.623	True	1	-
25	Molecule 25	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	3.89 log(L/kg) (LOW reliability)	3.89	7833	3.2	4.33	6.7	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	0	0.946	0.317	0.431	0.623	False	1	-
26	Molecule 26	c1cc(ccc1c2cc(c(cc2Cl)Cl)Cl)Cl	4.62 log(L/kg) (GOOD reliability)	4.62	41764	4.53	4.38	5.99	-	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	0.995	0.154	0.146	0.246	True	1	-
27	Molecule 27	c1cc(ccc1c2ccc(c(c2Cl)Cl)Cl)Cl	4.62 log(L/kg) (GOOD reliability)	4.62	42054	4.53	4.38	5.99	-	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07)	1	0.995	0.083	0.079	0.105	True	1	-
28	Molecule 28	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	4.63 log(L/kg) (GOOD reliability)	4.63	42929	4.41	4.52	6.23	-	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07)	1	0.998	0.264	0.265	0.354	True	1	-
29	Molecule 29	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	4.63 log(L/kg) (GOOD reliability)	4.63	43084	4.42	4.52	6.23	-	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	0.995	0.187	0.196	0.2	True	1	-
30	Molecule 30	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	4.28 log(L/kg) (EXPERIMENTAL value)	4.63	43039	4.41	4.52	6.23	4.28	Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07)	1	1	0.354	0.354	0.354	True	1	-
31	Molecule 31	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	4.37 log(L/kg) (GOOD reliability)	4.37	23485	3.94	4.49	6.47	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	0.971	0.303	0.05	0.354	True	1	-
32	Molecule 32	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	4.37 log(L/kg) (GOOD reliability)	4.37	23554	3.94	4.49	6.47	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	1	0.971	0.303	0.05	0.354	True	1	-
33	Molecule 33	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	4.37 log(L/kg) (GOOD reliability)	4.37	23583	3.94	4.49	6.47	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07)	1	0.971	0.264	0.265	0.354	True	1	-
34	Molecule 34	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	3.89 log(L/kg) (LOW reliability)	3.89	7852	3.2	4.33	6.7	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	0	0.946	0.317	0.43	0.623	False	1	-
35	Molecule 35	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	3.89 log(L/kg) (LOW reliability)	3.89	7821	3.19	4.33	6.7	-	6 Cl atoms in the molecule (SO 01); Moiety (SMILES: Clc1ccccc1c1ccc(Cl)cc1) (SR 07); Moiety (SMILES: Clc1cc(c2ccccc2)c(Cl)cc1) (SR 09)	0	0.945	0.303	0.437	0.354	False	1	-
